날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,관객수,누적관객수,순위,관람객평점,평론가평점,최종관객수
2011-07-28,338,10.20%,"1,677",13.70%,"326,157",14.90%,19.30%,"63,024","63,354",4,7.81,6.22,"514,261"
2011-07-29,339,10.20%,"1,703",13.50%,"327,514",14.60%,19.60%,"64,181","127,535",4,7.81,6.22,"514,261"
2011-07-30,362,10.10%,"1,709",13.10%,"316,362",13.60%,33.20%,"104,875","232,410",4,7.81,6.22,"514,261"
2011-07-31,355,10.00%,"1,650",12.90%,"303,858",13.40%,29.80%,"90,418","322,828",4,7.81,6.22,"514,261"
2011-08-01,339,9.90%,"1,607",12.80%,"296,661",13.30%,18.50%,"54,781","377,609",6,7.81,6.22,"514,261"
