날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,관객수,누적관객수,순위,관람객평점,평론가평점,최종관객수
2018-07-04,"1,616",32.90%,"8,956",50.20%,"1,665,337",58.50%,24.30%,"404,151","406,945",1,8.85,6.13,"5,447,706"
2018-07-05,"1,627",32.70%,"9,012",50.40%,"1,674,967",58.70%,17.90%,"299,650","706,595",1,8.85,6.13,"5,447,706"
2018-07-06,"1,678",33.30%,"9,448",51.60%,"1,749,472",60.10%,23.10%,"403,553","1,110,148",1,8.85,6.13,"5,447,706"
2018-07-07,"1,775",33.60%,"10,438",54.40%,"1,910,139",63.00%,43.00%,"821,769","1,931,917",1,8.85,6.13,"5,447,706"
2018-07-08,"1,764",33.60%,"10,201",54.30%,"1,872,815",63.00%,37.10%,"694,125","2,626,042",1,8.85,6.13,"5,447,706"
