날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,관객수,누적관객수,순위,관람객평점,평론가평점,최종관객수
2014-07-31,497,13.20%,"2,164",14.60%,"309,619",12.70%,39.40%,"121,866","122,871",4,8.64,7.96,"1,311,190"
2014-08-01,539,14.00%,"2,195",14.50%,"311,351",12.60%,39.90%,"124,167","247,038",4,8.64,7.96,"1,311,190"
2014-08-02,530,13.40%,"2,134",13.80%,"302,276",11.90%,57.70%,"174,421","421,459",4,8.64,7.96,"1,311,190"
2014-08-03,521,13.10%,"1,996",13.00%,"282,806",11.30%,57.40%,"162,223","583,682",4,8.64,7.96,"1,311,190"
2014-08-04,492,13.40%,"2,046",13.80%,"285,929",11.80%,35.80%,"102,440","686,122",3,8.64,7.96,"1,311,190"
