날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,관객수,누적관객수,순위,관람객평점,평론가평점,최종관객수
2011-04-28,460,16.20%,"2,493",23.50%,"582,809",30.10%,14.10%,"81,994","81,996",1,7.33,5.82,"1,694,529"
2011-04-29,463,16.00%,"2,629",23.60%,"611,489",30.30%,15.60%,"95,104","177,100",1,7.33,5.82,"1,694,529"
2011-04-30,496,13.90%,"2,830",23.40%,"657,585",30.20%,35.70%,"234,505","411,605",1,7.33,5.82,"1,694,529"
2011-05-01,483,14.00%,"2,711",23.50%,"631,770",30.30%,34.80%,"220,047","631,652",1,7.33,5.82,"1,694,529"
2011-05-02,476,16.90%,"2,559",24.70%,"591,297",31.20%,8.60%,"50,992","682,644",1,7.33,5.82,"1,694,529"
