날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,관객수,누적관객수,순위,관람객평점,평론가평점,최종관객수
2016-10-25,"1,173",19.20%,"2,753",17.60%,"531,817",20.50%,22.20%,"117,917","118,546",2,8.88,7.03,"5,445,630"
2016-10-26,"1,503",33.40%,"8,544",52.30%,"1,638,471",60.40%,26.60%,"435,068","553,614",1,8.88,7.03,"5,445,630"
2016-10-27,"1,490",33.00%,"8,495",52.00%,"1,626,947",60.30%,14.00%,"228,451","782,065",1,8.88,7.03,"5,445,630"
2016-10-28,"1,500",33.00%,"8,777",51.80%,"1,684,160",60.30%,20.20%,"340,045","1,122,110",1,8.88,7.03,"5,445,630"
2016-10-29,"1,492",31.70%,"9,138",51.10%,"1,742,825",59.30%,39.80%,"692,976","1,815,086",1,8.88,7.03,"5,445,630"
