날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,관객수,누적관객수,순위,관람객평점,평론가평점,최종관객수
2015-04-23,"1,731",43.50%,"8,844",65.40%,"1,625,956",73.10%,38.30%,"622,165","625,666",1,8.59,6.92,"10,494,314"
2015-04-24,"1,767",44.60%,"9,206",66.00%,"1,684,239",73.70%,38.60%,"649,804","1,275,470",1,8.59,6.92,"10,494,314"
2015-04-25,"1,843",44.50%,"10,018",68.20%,"1,813,385",75.80%,63.70%,"1,155,761","2,431,231",1,8.59,6.92,"10,494,314"
2015-04-26,"1,826",45.10%,"9,761",68.30%,"1,766,268",75.80%,57.40%,"1,013,207","3,444,438",1,8.59,6.92,"10,494,314"
2015-04-27,"1,695",44.80%,"8,765",66.20%,"1,614,836",74.10%,18.30%,"295,125","3,739,563",1,8.59,6.92,"10,494,314"
