날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,관객수,누적관객수,순위,관람객평점,평론가평점,최종관객수
2012-04-25,653,17.40%,"1,457",13.10%,"312,058",15.90%,25.20%,"78,519","79,954",1,8.75,7.75,"7,074,867"
2012-04-26,846,27.80%,"3,853",34.50%,"835,501",42.50%,25.60%,"214,105","294,059",1,8.75,7.75,"7,074,867"
2012-04-27,862,28.90%,"4,112",35.50%,"893,416",43.90%,30.60%,"273,544","567,603",1,8.75,7.75,"7,074,867"
2012-04-28,963,30.30%,"4,744",38.40%,"1,007,969",46.70%,55.00%,"554,479","1,122,082",1,8.75,7.75,"7,074,867"
2012-04-29,967,30.80%,"4,648",38.90%,"983,200",47.10%,52.60%,"517,247","1,639,329",1,8.75,7.75,"7,074,867"
