날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,관객수,누적관객수,순위,관람객평점,평론가평점,최종관객수
2019-03-06,"2,017",40.00%,"11,021",61.00%,"1,967,212",69.30%,23.40%,"461,134","461,758",1,8.45,6.86,"5,801,069"
2019-03-07,"1,997",38.10%,"10,954",61.10%,"1,957,169",69.40%,16.00%,"312,694","774,452",1,8.45,6.86,"5,801,069"
2019-03-08,"2,014",37.90%,"11,220",61.10%,"1,996,701",69.40%,20.70%,"413,068","1,187,520",1,8.45,6.86,"5,801,069"
2019-03-09,"2,100",36.10%,"12,039",62.10%,"2,112,756",70.20%,47.40%,"1,001,712","2,189,232",1,8.45,6.86,"5,801,069"
2019-03-10,"2,089",36.30%,"11,734",62.00%,"2,066,036",70.20%,41.00%,"847,394","3,036,626",1,8.45,6.86,"5,801,069"
