날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,관객수,누적관객수,순위,관람객평점,평론가평점,최종관객수
2013-04-25,"1,229",34.60%,"6,249",52.30%,"1,235,978",60.90%,34.20%,"422,504","423,201",1,8.86,7.53,"9,001,331"
2013-04-26,"1,261",35.00%,"6,575",53.00%,"1,293,928",61.70%,37.60%,"486,637","909,838",1,8.86,7.53,"9,001,331"
2013-04-27,"1,369",36.20%,"7,383",55.60%,"1,426,849",64.00%,62.70%,"894,377","1,804,215",1,8.86,7.53,"9,001,331"
2013-04-28,"1,381",37.00%,"7,181",56.10%,"1,386,782",64.30%,59.20%,"821,041","2,625,256",1,8.86,7.53,"9,001,331"
2013-04-29,"1,247",35.90%,"6,452",54.10%,"1,269,520",62.80%,22.20%,"282,271","2,907,527",1,8.86,7.53,"9,001,331"
