날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,관객수,누적관객수,순위,관람객평점,평론가평점,최종관객수
2010-04-29,735,26.30%,"3,966",35.10%,"878,545",42.40%,28.30%,"248,798","254,749",1,7.37,5.47,"4,424,183"
2010-04-30,755,26.70%,"4,203",35.00%,"933,313",42.60%,30.50%,"284,601","539,350",1,7.37,5.47,"4,424,183"
2010-05-01,853,29.40%,"4,760",37.30%,"1,040,451",45.20%,56.60%,"588,466","1,127,816",1,7.37,5.47,"4,424,183"
2010-05-02,839,29.40%,"4,534",37.10%,"994,716",45.10%,53.30%,"530,171","1,657,987",1,7.37,5.47,"4,424,183"
2010-05-03,735,27.00%,"4,003",36.40%,"900,813",44.60%,14.00%,"126,207","1,784,194",1,7.37,5.47,"4,424,183"
