날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,관객수,누적관객수,순위,관람객평점,평론가평점,최종관객수
2017-05-02,"1,033",16.50%,"2,563",15.00%,"479,677",17.30%,30.90%,"148,071","148,489",1,9.05,6.25,"2,735,721"
2017-05-03,"1,166",18.80%,"5,365",29.20%,"1,075,636",36.20%,39.30%,"422,412","570,901",1,9.05,6.25,"2,735,721"
2017-05-04,"1,154",18.20%,"5,308",29.00%,"1,064,818",36.00%,25.30%,"269,106","840,007",1,9.05,6.25,"2,735,721"
2017-05-05,"1,218",17.80%,"5,221",27.70%,"1,031,281",33.70%,36.20%,"373,681","1,213,688",1,9.05,6.25,"2,735,721"
2017-05-06,"1,133",16.90%,"4,914",26.20%,"975,645",32.10%,29.40%,"286,689","1,500,377",2,9.05,6.25,"2,735,721"
