날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,관객수,누적관객수,순위,관람객평점,평론가평점,최종관객수
2019-07-01,712,10.70%,724,3.90%,"139,986",4.80%,36.90%,"51,712","52,568",4,8.99,6.56,"8,021,064"
2019-07-02,"1,944",33.20%,"10,320",55.30%,"1,842,648",63.70%,36.60%,"674,423","726,991",1,8.99,6.56,"8,021,064"
2019-07-03,"1,949",35.20%,"10,355",55.90%,"1,837,939",64.10%,27.70%,"509,033","1,236,024",1,8.99,6.56,"8,021,064"
2019-07-04,"2,007",35.30%,"10,428",56.50%,"1,845,401",64.50%,23.20%,"427,801","1,663,825",1,8.99,6.56,"8,021,064"
2019-07-05,"2,080",36.10%,"10,965",58.00%,"1,936,294",66.10%,32.90%,"636,529","2,300,354",1,8.99,6.56,"8,021,064"
