날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,관객수,누적관객수,순위,관람객평점,평론가평점,최종관객수
2014-03-26,938,24.90%,"4,467",35.70%,"884,119",42.60%,18.90%,"166,787","167,719",1,8.83,7.28,"3,963,251"
2014-03-27,995,27.30%,"4,803",38.80%,"944,518",45.90%,14.40%,"135,839","303,558",1,8.83,7.28,"3,963,251"
2014-03-28,"1,033",27.90%,"5,015",39.10%,"986,609",46.40%,21.40%,"211,127","514,685",1,8.83,7.28,"3,963,251"
2014-03-29,"1,090",27.10%,"5,585",40.50%,"1,091,948",48.20%,47.10%,"514,736","1,029,421",1,8.83,7.28,"3,963,251"
2014-03-30,"1,106",28.00%,"5,421",40.80%,"1,060,658",48.50%,41.90%,"444,520","1,473,941",1,8.83,7.28,"3,963,251"
