날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,관객수,누적관객수,순위,관람객평점,평론가평점,최종관객수
2017-07-05,"1,703",39.60%,"9,117",57.80%,"1,702,485",65.80%,32.00%,"545,302","551,499",1,8.83,7,"7,258,402"
2017-07-06,"1,733",39.00%,"9,170",57.90%,"1,710,240",65.80%,23.70%,"405,399","956,898",1,8.83,7,"7,258,402"
2017-07-07,"1,796",39.60%,"9,533",58.50%,"1,765,989",66.40%,30.40%,"537,526","1,494,424",1,8.83,7,"7,258,402"
2017-07-08,"1,965",41.10%,"10,679",62.30%,"1,942,894",69.70%,56.60%,"1,098,751","2,593,175",1,8.83,7,"7,258,402"
2017-07-09,"1,965",41.60%,"10,524",63.00%,"1,914,659",70.30%,50.70%,"970,771","3,563,946",1,8.83,7,"7,258,402"
