날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,관객수,누적관객수,순위,관람객평점,평론가평점,최종관객수
2018-02-14,"1,449",26.00%,"7,196",38.20%,"1,356,487",45.40%,46.50%,"630,461","633,484",1,8.33,6.67,"5,398,994"
2018-02-15,"1,587",26.80%,"7,779",40.30%,"1,452,316",47.50%,38.80%,"563,855","1,197,339",1,8.33,6.67,"5,398,994"
2018-02-16,"1,620",27.30%,"7,904",41.30%,"1,480,654",48.80%,38.00%,"562,493","1,759,832",1,8.33,6.67,"5,398,994"
2018-02-17,"1,544",24.70%,"7,565",38.50%,"1,431,978",46.00%,51.60%,"739,447","2,499,279",1,8.33,6.67,"5,398,994"
2018-02-18,"1,495",24.30%,"7,171",38.00%,"1,357,794",45.40%,44.10%,"598,424","3,097,703",1,8.33,6.67,"5,398,994"
