날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,관객수,누적관객수,순위,관람객평점,평론가평점,최종관객수
2008-06-12,388,16.90%,"2,147",19.20%,"477,309",23.40%,15.30%,"73,229","73,267",1,8.27,6,"991,417"
2008-06-13,387,16.70%,"2,212",18.70%,"495,929",23.20%,15.90%,"78,839","152,106",2,8.27,6,"991,417"
2008-06-14,417,16.10%,"2,302",17.80%,"496,119",21.30%,38.80%,"192,369","344,475",2,8.27,6,"991,417"
2008-06-15,417,16.30%,"2,190",17.80%,"466,144",21.00%,39.20%,"182,853","527,328",2,8.27,6,"991,417"
2008-06-16,372,16.20%,"2,057",18.70%,"455,309",22.80%,10.70%,"48,609","575,937",2,8.27,6,"991,417"
