날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,관객수,누적관객수,순위,관람객평점,평론가평점,최종관객수
2008-04-30,496,21.60%,"2,823",26.60%,"649,016",34.00%,23.50%,"152,797","155,577",1,8.93,6.13,"4,290,816"
2008-05-01,528,22.20%,"2,922",25.50%,"664,247",32.50%,35.60%,"236,496","392,073",1,8.93,6.13,"4,290,816"
2008-05-02,507,21.50%,"2,936",26.00%,"677,383",33.30%,24.80%,"167,669","559,742",1,8.93,6.13,"4,290,816"
2008-05-03,570,23.10%,"3,192",26.30%,"729,629",33.60%,47.50%,"346,788","906,530",1,8.93,6.13,"4,290,816"
2008-05-04,574,23.80%,"3,165",26.90%,"714,875",34.10%,57.00%,"407,586","1,314,116",1,8.93,6.13,"4,290,816"
