날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,관객수,누적관객수,순위,관람객평점,평론가평점
2010-04-29,735,26.3%,"3,966",35.1%,"878,545",42.4%,28.3%,"248,798","254,749",1,7.37,5.47
2010-04-30,755,26.7%,"4,203",35.0%,"933,313",42.6%,30.5%,"284,601","539,350",1,7.37,5.47
2010-05-01,853,29.4%,"4,760",37.3%,"1,040,451",45.2%,56.6%,"588,466","1,127,816",1,7.37,5.47
2010-05-02,839,29.4%,"4,534",37.1%,"994,716",45.1%,53.3%,"530,171","1,657,987",1,7.37,5.47
2010-05-03,735,27.0%,"4,003",36.4%,"900,813",44.6%,14.0%,"126,207","1,784,194",1,7.37,5.47
2010-05-04,764,27.4%,"4,242",36.0%,"952,117",44.5%,21.6%,"205,913","1,990,107",1,7.37,5.47
2010-05-05,921,31.6%,"4,878",38.0%,"1,063,314",46.4%,60.3%,"640,685","2,630,792",1,7.37,5.47
2010-05-06,749,30.2%,"4,143",36.2%,"942,738",45.6%,11.5%,"108,089","2,738,881",1,7.37,5.47
2010-05-07,765,30.2%,"4,361",36.3%,"987,995",45.6%,13.6%,"134,486","2,873,367",1,7.37,5.47
2010-05-08,827,30.8%,"4,785",36.8%,"1,072,832",46.2%,26.0%,"278,833","3,152,200",1,7.37,5.47
2010-05-09,813,30.6%,"4,559",36.7%,"1,024,482",46.1%,25.9%,"265,226","3,417,426",1,7.37,5.47
2010-05-10,723,29.8%,"3,917",35.9%,"898,104",45.3%,6.8%,"60,887","3,478,313",1,7.37,5.47
2010-05-11,727,29.9%,"3,839",35.7%,"877,274",44.9%,6.7%,"58,833","3,537,146",1,7.37,5.47
2010-05-12,723,29.8%,"3,761",35.6%,"857,883",44.6%,6.4%,"55,003","3,592,149",1,7.37,5.47
2010-05-13,453,18.1%,"2,159",19.7%,"420,404",21.0%,8.3%,"34,884","3,627,033",3,7.37,5.47
2010-05-14,452,17.6%,"2,257",19.5%,"436,750",20.7%,11.0%,"48,022","3,675,055",3,7.37,5.47
2010-05-15,500,18.0%,"2,462",19.4%,"452,721",19.8%,32.3%,"146,066","3,821,121",3,7.37,5.47
2010-05-16,466,17.5%,"2,334",19.3%,"429,571",19.6%,31.3%,"134,531","3,955,652",3,7.37,5.47
2010-05-17,437,17.6%,"2,071",19.0%,"381,019",19.2%,6.8%,"25,733","3,981,385",3,7.37,5.47
2010-05-18,441,17.3%,"2,069",18.7%,"381,012",18.9%,6.9%,"26,454","4,007,839",3,7.37,5.47
2010-05-19,440,17.1%,"2,028",18.5%,"370,183",18.5%,6.6%,"24,321","4,032,160",3,7.37,5.47
2010-05-20,276,10.7%,"1,277",10.2%,"205,008",9.0%,13.0%,"26,594","4,058,754",5,7.37,5.47
2010-05-21,294,10.8%,"1,379",10.1%,"217,269",8.8%,42.7%,"92,853","4,151,607",4,7.37,5.47
2010-05-22,298,10.9%,"1,394",10.2%,"220,964",9.0%,39.0%,"86,174","4,237,781",4,7.37,5.47
2010-05-23,299,10.9%,"1,334",10.2%,"212,147",8.9%,33.3%,"70,567","4,308,348",5,7.37,5.47
2010-05-24,270,10.5%,"1,138",9.8%,"186,680",8.8%,7.1%,"13,213","4,321,561",5,7.37,5.47
2010-05-25,271,10.4%,"1,118",9.8%,"182,989",8.8%,6.9%,"12,659","4,334,220",5,7.37,5.47
2010-05-26,290,11.1%,"1,101",9.7%,"180,171",8.7%,9.3%,"16,798","4,351,018",5,7.37,5.47
2010-05-27,169,6.3%,466,4.1%,"69,308",3.3%,7.4%,"5,141","4,356,159",9,7.37,5.47
2010-05-28,172,6.3%,495,4.1%,"72,853",3.3%,8.5%,"6,160","4,362,319",9,7.37,5.47
2010-05-29,191,6.5%,574,4.4%,"84,413",3.5%,23.8%,"20,112","4,382,431",7,7.37,5.47
2010-05-30,182,6.4%,548,4.3%,"80,581",3.5%,23.4%,"18,860","4,401,291",7,7.37,5.47
2010-05-31,162,6.0%,468,4.2%,"70,767",3.4%,6.5%,"4,579","4,405,870",8,7.37,5.47
2010-06-01,163,5.9%,472,4.1%,"69,996",3.3%,8.2%,"5,756","4,411,626",8,7.37,5.47
2010-06-02,65,2.2%,112,0.9%,"15,842",0.7%,46.5%,"7,368","4,418,994",9,7.37,5.47
2010-06-03,26,1.0%,45,0.4%,"6,279",0.3%,6.1%,382,"4,419,376",16,7.37,5.47
2010-06-04,25,0.9%,52,0.4%,"6,786",0.3%,6.8%,461,"4,419,837",15,7.37,5.47
2010-06-05,31,1.0%,71,0.5%,"8,827",0.4%,16.2%,"1,427","4,421,264",12,7.37,5.47
2010-06-06,29,1.0%,67,0.5%,"8,153",0.4%,18.3%,"1,488","4,422,752",11,7.37,5.47
2010-06-07,25,0.9%,57,0.5%,"7,177",0.4%,5.2%,370,"4,423,122",18,7.37,5.47
2010-06-08,25,0.9%,52,0.5%,"6,476",0.3%,5.9%,379,"4,423,501",20,7.37,5.47
2010-06-09,24,0.9%,47,0.4%,"6,239",0.3%,5.5%,343,"4,423,844",19,7.37,5.47
2010-06-10,3,0.1%,5,0.0%,786,0.0%,6.5%,51,"4,423,895",29,7.37,5.47
2010-06-11,2,0.1%,2,0.0%,334,0.0%,3.6%,12,"4,423,907",45,7.37,5.47
2010-06-12,1,0.0%,1,0.0%,160,0.0%,21.9%,35,"4,423,942",35,7.37,5.47
2010-06-13,2,0.1%,2,0.0%,387,0.0%,7.8%,30,"4,423,972",36,7.37,5.47
2010-06-14,1,0.0%,1,0.0%,160,0.0%,2.5%,4,"4,423,976",46,7.37,5.47
2010-06-15,1,0.0%,1,0.0%,160,0.0%,12.5%,20,"4,423,996",38,7.37,5.47
2010-06-16,1,0.0%,1,0.0%,188,0.0%,99.5%,187,"4,424,183",18,7.37,5.47
