스크린점유율,상영점유율,좌석점유율,좌석판매율,누적관객수,순위,관람객평점,평론가평점,최종관객수
36.20%,55.60%,64.00%,62.70%,"1,804,215",1,8.86,7.53,"9,001,331"
37.00%,56.10%,64.30%,59.20%,"2,625,256",1,8.86,7.53,"9,001,331"
35.90%,54.10%,62.80%,22.20%,"2,907,527",1,8.86,7.53,"9,001,331"
26.30%,35.10%,42.40%,28.30%,"254,749",1,7.37,5.47,"4,424,183"
26.70%,35.00%,42.60%,30.50%,"539,350",1,7.37,5.47,"4,424,183"
29.40%,37.30%,45.20%,56.60%,"1,127,816",1,7.37,5.47,"4,424,183"
29.40%,37.10%,45.10%,53.30%,"1,657,987",1,7.37,5.47,"4,424,183"
27.00%,36.40%,44.60%,14.00%,"1,784,194",1,7.37,5.47,"4,424,183"
21.60%,26.60%,34.00%,23.50%,"155,577",1,8.93,6.13,"4,290,816"
22.20%,25.50%,32.50%,35.60%,"392,073",1,8.93,6.13,"4,290,816"
21.50%,26.00%,33.30%,24.80%,"559,742",1,8.93,6.13,"4,290,816"
23.10%,26.30%,33.60%,47.50%,"906,530",1,8.93,6.13,"4,290,816"
23.80%,26.90%,34.10%,57.00%,"1,314,116",1,8.93,6.13,"4,290,816"
39.60%,57.80%,65.80%,32.00%,"551,499",1,8.83,7.0,"7,258,402"
39.00%,57.90%,65.80%,23.70%,"956,898",1,8.83,7.0,"7,258,402"
39.60%,58.50%,66.40%,30.40%,"1,494,424",1,8.83,7.0,"7,258,402"
41.10%,62.30%,69.70%,56.60%,"2,593,175",1,8.83,7.0,"7,258,402"
41.60%,63.00%,70.30%,50.70%,"3,563,946",1,8.83,7.0,"7,258,402"
10.70%,3.90%,4.80%,36.90%,"52,568",4,8.99,6.56,"8,021,064"
33.20%,55.30%,63.70%,36.60%,"726,991",1,8.99,6.56,"8,021,064"
35.20%,55.90%,64.10%,27.70%,"1,236,024",1,8.99,6.56,"8,021,064"
35.30%,56.50%,64.50%,23.20%,"1,663,825",1,8.99,6.56,"8,021,064"
36.10%,58.00%,66.10%,32.90%,"2,300,354",1,8.99,6.56,"8,021,064"
26.00%,38.20%,45.40%,46.50%,"633,484",1,8.33,6.67,"5,398,994"
26.80%,40.30%,47.50%,38.80%,"1,197,339",1,8.33,6.67,"5,398,994"
27.30%,41.30%,48.80%,38.00%,"1,759,832",1,8.33,6.67,"5,398,994"
24.70%,38.50%,46.00%,51.60%,"2,499,279",1,8.33,6.67,"5,398,994"
24.30%,38.00%,45.40%,44.10%,"3,097,703",1,8.33,6.67,"5,398,994"
19.20%,17.60%,20.50%,22.20%,"118,546",2,8.88,7.03,"5,445,630"
33.40%,52.30%,60.40%,26.60%,"553,614",1,8.88,7.03,"5,445,630"
33.00%,52.00%,60.30%,14.00%,"782,065",1,8.88,7.03,"5,445,630"
33.00%,51.80%,60.30%,20.20%,"1,122,110",1,8.88,7.03,"5,445,630"
31.70%,51.10%,59.30%,39.80%,"1,815,086",1,8.88,7.03,"5,445,630"
16.50%,15.00%,17.30%,30.90%,"148,489",1,9.05,6.25,"2,735,721"
18.80%,29.20%,36.20%,39.30%,"570,901",1,9.05,6.25,"2,735,721"
18.20%,29.00%,36.00%,25.30%,"840,007",1,9.05,6.25,"2,735,721"
17.80%,27.70%,33.70%,36.20%,"1,213,688",1,9.05,6.25,"2,735,721"
16.90%,26.20%,32.10%,29.40%,"1,500,377",2,9.05,6.25,"2,735,721"
13.20%,14.60%,12.70%,39.40%,"122,871",4,8.64,7.96,"1,311,190"
14.00%,14.50%,12.60%,39.90%,"247,038",4,8.64,7.96,"1,311,190"
13.40%,13.80%,11.90%,57.70%,"421,459",4,8.64,7.96,"1,311,190"
13.10%,13.00%,11.30%,57.40%,"583,682",4,8.64,7.96,"1,311,190"
13.40%,13.80%,11.80%,35.80%,"686,122",3,8.64,7.96,"1,311,190"
