스크린점유율,상영점유율,좌석점유율,좌석판매율,누적관객수,순위,관람객평점,평론가평점,최종관객수
0.279,0.391,0.464,0.214,0.369,0.05,0.442,0.364,0.6251611387135759
0.271,0.405,0.482,0.471,0.781,0.05,0.442,0.364,0.6251611387135759
0.28,0.408,0.485,0.419,1.136,0.05,0.442,0.364,0.6251611387135759
0.404,0.634,0.713,0.435,0.541,0.05,0.442,0.375,1.3787400806972447
0.4,0.627,0.708,0.283,0.92,0.05,0.442,0.375,1.3787400806972447
0.405,0.636,0.715,0.371,1.43,0.05,0.442,0.375,1.3787400806972447
0.427,0.682,0.757,0.61,2.344,0.05,0.442,0.375,1.3787400806972447
0.429,0.684,0.758,0.519,3.103,0.05,0.442,0.375,1.3787400806972447
0.297,0.479,0.567,0.271,0.292,0.05,0.451,0.306,0.7680600049876268
0.284,0.468,0.553,0.145,0.466,0.05,0.451,0.306,0.7680600049876268
0.287,0.47,0.557,0.204,0.719,0.05,0.451,0.306,0.7680600049876268
0.289,0.486,0.572,0.399,1.249,0.05,0.451,0.306,0.7680600049876268
0.285,0.483,0.57,0.369,1.728,0.05,0.451,0.306,0.7680600049876268
0.216,0.266,0.34,0.235,0.082,0.05,0.446,0.306,0.677525625531534
0.222,0.255,0.325,0.356,0.271,0.05,0.446,0.306,0.677525625531534
0.215,0.26,0.333,0.248,0.405,0.05,0.446,0.306,0.677525625531534
0.231,0.263,0.336,0.475,0.683,0.05,0.446,0.306,0.677525625531534
0.238,0.269,0.341,0.57,1.008,0.05,0.446,0.306,0.677525625531534
0.185,0.301,0.368,0.187,0.099,0.05,0.436,0.354,0.44587002116544217
0.189,0.306,0.374,0.226,0.275,0.05,0.436,0.354,0.44587002116544217
0.191,0.328,0.397,0.454,0.665,0.05,0.436,0.354,0.44587002116544217
0.19,0.327,0.397,0.409,1.009,0.05,0.436,0.354,0.44587002116544217
0.199,0.319,0.391,0.108,1.093,0.05,0.436,0.354,0.44587002116544217
0.463,0.728,0.789,0.498,0.742,0.05,0.454,0.354,1.7839041928037496
0.478,0.735,0.796,0.298,1.218,0.05,0.454,0.354,1.7839041928037496
0.493,0.752,0.811,0.355,1.809,0.05,0.454,0.354,1.7839041928037496
0.492,0.771,0.826,0.599,2.875,0.05,0.454,0.354,1.7839041928037496
0.497,0.774,0.829,0.511,3.766,0.05,0.454,0.354,1.7839041928037496
0.107,0.039,0.048,0.369,0.0,0.2,0.45,0.328,1.2738424549355125
0.332,0.553,0.637,0.366,0.539,0.05,0.45,0.328,1.2738424549355125
0.352,0.559,0.641,0.277,0.946,0.05,0.45,0.328,1.2738424549355125
0.353,0.565,0.645,0.232,1.288,0.05,0.45,0.328,1.2738424549355125
0.361,0.58,0.661,0.329,1.797,0.05,0.45,0.328,1.2738424549355125
0.169,0.192,0.234,0.153,0.017,0.05,0.414,0.3,0.1500842461329906
0.167,0.187,0.232,0.159,0.08,0.1,0.414,0.3,0.1500842461329906
0.161,0.178,0.213,0.388,0.233,0.1,0.414,0.3,0.1500842461329906
0.163,0.178,0.21,0.392,0.379,0.1,0.414,0.3,0.1500842461329906
0.162,0.187,0.228,0.107,0.418,0.1,0.414,0.3,0.1500842461329906
0.329,0.502,0.585,0.243,0.283,0.05,0.442,0.306,0.8624658699252495
0.327,0.504,0.587,0.179,0.523,0.05,0.442,0.306,0.8624658699252495
0.333,0.516,0.601,0.231,0.845,0.05,0.442,0.306,0.8624658699252495
0.336,0.544,0.63,0.43,1.502,0.05,0.442,0.306,0.8624658699252495
0.336,0.543,0.63,0.371,2.057,0.05,0.442,0.306,0.8624658699252495
0.26,0.382,0.454,0.465,0.464,0.05,0.416,0.334,0.8546787776477585
0.268,0.403,0.475,0.388,0.915,0.05,0.416,0.334,0.8546787776477585
0.273,0.413,0.488,0.38,1.365,0.05,0.416,0.334,0.8546787776477585
0.247,0.385,0.46,0.516,1.956,0.05,0.416,0.334,0.8546787776477585
0.243,0.38,0.454,0.441,2.434,0.05,0.416,0.334,0.8546787776477585
